Membership No  Date Joined  Active  
    98277      2015-9-18    yes   
    41071      2018-6-24    no    
    39411      2019-5-4     yes   
    46700      2015-8-22    no    
    82966      2015-2-7     yes   
    70137      2019-11-22   yes   
    96717      2015-3-23    no    
    24018      2017-6-24    no    
    20287      2015-1-16    no    
    42588      2017-1-24    yes   
    12161      2019-1-17    yes   
    16755      2016-5-24    yes   
    79403      2016-2-25    no    
    24972      2017-4-15    no    
    37532      2018-7-14    yes   
    48417      2018-3-24    no    
    63051      2018-3-6     no    
    15407      2020-1-5     yes   
    36604      2016-2-8     yes   
    71234      2019-3-23    yes   
