Membership No  Date Joined  Active  
    11518      2019-11-20   no    
    49297      2015-10-23   yes   
    16649      2017-11-12   yes   
    91442      2018-4-1     no    
    15035      2016-2-22    yes   
    26922      2020-9-15    yes   
    16510      2017-1-9     no    
    63668      2017-10-11   yes   
    71510      2018-9-20    yes   
    47370      2017-7-17    yes   
    71730      2020-7-1     no    
    25142      2017-1-15    no    
    15457      2018-3-15    no    
    47743      2019-9-20    no    
    14889      2019-3-18    no    
    95902      2020-6-11    yes   
    31656      2016-4-14    no    
    82232      2015-11-10   no    
    80037      2017-1-21    no    
    99243      2018-1-22    no    
